"Date","DABUR.NS.Open","DABUR.NS.High","DABUR.NS.Low","DABUR.NS.Close","DABUR.NS.Volume","DABUR.NS.Adjusted"
2007-03-07,45.974998,46.5,45.049999,45.575001,1377450,38.324539
2007-03-08,45.75,46.275002,44.375,45.924999,2012366,38.618862
2007-03-09,46.5,46.5,44.700001,44.924999,861018,37.777954
2007-03-12,45.849998,46.200001,44,44.25,1628446,37.210342
2007-03-13,44.825001,45.450001,44.400002,44.924999,1124240,37.777954
2007-03-14,44.5,44.849998,41,44.049999,842976,37.042156
2007-03-15,44.5,44.950001,43.625,43.799999,760716,36.831932
2007-03-16,43.75,44.125,41.950001,42.25,1080512,36.147484
2007-03-19,42.875,42.875,42.075001,42.525002,596686,36.382767
2007-03-20,43,43.400002,41.700001,42.075001,1050224,35.997753
2007-03-21,41.549999,43.950001,41.549999,43.650002,2304036,37.345261
2007-03-22,44,45.849998,44,45.349998,2863974,38.799717
2007-03-23,45.924999,47.299999,45.049999,46.700001,6250398,39.954727
2007-03-26,46.599998,47.400002,45.025002,45.450001,2841118,38.885281
2007-03-28,46.325001,46.325001,42.650002,45.424999,1172226,38.863884
2007-03-29,47.224998,47.224998,44.525002,45.325001,1557784,38.778324
2007-03-30,45.5,47.775002,44.650002,47.5,2669750,40.639183
2007-04-02,47,47,45.125,46.549999,1515978,39.826393
2007-04-03,46.549999,47.400002,45.575001,46.474998,972216,39.76223
2007-04-04,46.900002,47.349998,45.799999,46.325001,1581510,39.633896
2007-04-05,46.599998,47.700001,45.625,47.049999,3301816,40.254185
2007-04-09,47.700001,47.700001,45.775002,46.25,1448926,39.569725
2007-04-10,46.275002,46.950001,45.875,46.5,2082744,39.783619
2007-04-11,41.950001,47,41.950001,46.650002,779924,39.911949
2007-04-12,45.700001,47.5,45.674999,46.924999,2801542,40.147228
2007-04-13,47.200001,47.5,46.525002,46.599998,859432,39.869171
2007-04-16,47.174999,47.25,46.599998,46.900002,851284,40.125843
2007-04-17,47.25,48.5,46.25,47.025002,2180052,40.232788
2007-04-18,47.375,49.950001,47.075001,49.525002,3207318,42.371693
2007-04-19,48.5,50.400002,48.5,50.075001,2932764,42.842251
2007-04-20,50.5,50.950001,48.224998,48.549999,3579710,41.53751
